Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
77.400	0.0000	0.0000	infinite	1.6007	2.2443	-1.0000e+07	20.788	29.103	179.33	undefined	5.3684	0.0070437	vapor
77.400	0.0016667	0.25900	3.8610	1.6006	2.2441	205.54	20.790	29.106	179.33	2.6085	5.3685	0.0070439	vapor
77.400	0.0033333	0.51804	1.9304	1.6005	2.2440	199.78	20.791	29.110	179.32	2.6087	5.3687	0.0070441	vapor
77.400	0.0050000	0.77711	1.2868	1.6005	2.2439	196.41	20.792	29.113	179.31	2.6088	5.3688	0.0070443	vapor
77.400	0.0066667	1.0362	0.96505	1.6004	2.2437	194.01	20.793	29.116	179.31	2.6090	5.3689	0.0070445	vapor
77.400	0.0083333	1.2954	0.77199	1.6003	2.2436	192.16	20.794	29.120	179.30	2.6092	5.3690	0.0070447	vapor
77.400	0.010000	1.5545	0.64328	1.6002	2.2435	190.64	20.796	29.123	179.29	2.6093	5.3692	0.0070449	vapor
77.400	0.011667	1.8137	0.55135	1.6001	2.2434	189.36	20.797	29.126	179.29	2.6095	5.3693	0.0070451	vapor
77.400	0.013333	2.0730	0.48240	1.6000	2.2432	188.24	20.798	29.130	179.28	2.6096	5.3694	0.0070453	vapor
77.400	0.015000	2.3323	0.42877	1.6000	2.2431	187.26	20.799	29.133	179.27	2.6098	5.3695	0.0070455	vapor
77.400	0.016667	2.5916	0.38587	1.5999	2.2430	186.39	20.800	29.136	179.26	2.6100	5.3697	0.0070457	vapor
77.400	0.018333	2.8509	0.35076	1.5998	2.2429	185.59	20.801	29.140	179.26	2.6101	5.3698	0.0070459	vapor
77.400	0.020000	3.1103	0.32151	1.5997	2.2427	184.87	20.803	29.143	179.25	2.6103	5.3699	0.0070462	vapor
77.400	0.021667	3.3697	0.29676	1.5996	2.2426	184.20	20.804	29.146	179.24	2.6104	5.3700	0.0070464	vapor
77.400	0.023333	3.6292	0.27554	1.5995	2.2425	183.59	20.805	29.150	179.24	2.6106	5.3702	0.0070466	vapor
77.400	0.025000	3.8887	0.25716	1.5995	2.2424	183.01	20.806	29.153	179.23	2.6108	5.3703	0.0070468	vapor
77.400	0.026667	4.1482	0.24107	1.5994	2.2422	182.47	20.807	29.156	179.22	2.6109	5.3704	0.0070470	vapor
77.400	0.028333	4.4078	0.22687	1.5993	2.2421	181.97	20.809	29.160	179.22	2.6111	5.3705	0.0070472	vapor
77.400	0.030000	4.6674	0.21425	1.5992	2.2420	181.49	20.810	29.163	179.21	2.6112	5.3707	0.0070474	vapor
77.400	0.031667	4.9270	0.20296	1.5991	2.2418	181.04	20.811	29.166	179.20	2.6114	5.3708	0.0070476	vapor
77.400	0.033333	5.1867	0.19280	1.5990	2.2417	180.61	20.812	29.170	179.20	2.6116	5.3709	0.0070478	vapor
77.400	0.035000	5.4464	0.18361	1.5990	2.2416	180.21	20.813	29.173	179.19	2.6117	5.3710	0.0070480	vapor
77.400	0.036667	5.7061	0.17525	1.5989	2.2415	179.82	20.814	29.177	179.18	2.6119	5.3712	0.0070482	vapor
77.400	0.038333	5.9659	0.16762	1.5988	2.2413	179.45	20.816	29.180	179.17	2.6120	5.3713	0.0070484	vapor
77.400	0.040000	6.2257	0.16063	1.5987	2.2412	179.09	20.817	29.183	179.17	2.6122	5.3714	0.0070486	vapor
77.400	0.041667	6.4855	0.15419	1.5986	2.2411	178.75	20.818	29.187	179.16	2.6124	5.3715	0.0070488	vapor
77.400	0.043333	6.7454	0.14825	1.5985	2.2410	178.43	20.819	29.190	179.15	2.6125	5.3717	0.0070491	vapor
77.400	0.045000	7.0053	0.14275	1.5985	2.2408	178.11	20.820	29.193	179.15	2.6127	5.3718	0.0070493	vapor
77.400	0.046667	7.2653	0.13764	1.5984	2.2407	177.81	20.822	29.197	179.14	2.6128	5.3719	0.0070495	vapor
77.400	0.048333	7.5252	0.13289	1.5983	2.2406	177.51	20.823	29.200	179.13	2.6130	5.3720	0.0070497	vapor
77.400	0.050000	7.7853	0.12845	1.5982	2.2404	177.23	20.824	29.203	179.13	2.6132	5.3721	0.0070499	vapor
77.400	0.051667	8.0453	0.12430	1.5981	2.2403	176.96	20.825	29.207	179.12	2.6133	5.3723	0.0070501	vapor
77.400	0.053333	8.3054	0.12040	1.5980	2.2402	176.69	20.826	29.210	179.11	2.6135	5.3724	0.0070503	vapor
77.400	0.055000	8.5655	0.11675	1.5980	2.2401	176.44	20.828	29.214	179.11	2.6136	5.3725	0.0070505	vapor
77.400	0.056667	8.8257	0.11331	1.5979	2.2399	176.19	20.829	29.217	179.10	2.6138	5.3726	0.0070507	vapor
77.400	0.058333	9.0859	0.11006	1.5978	2.2398	175.94	20.830	29.220	179.09	2.6140	5.3728	0.0070509	vapor
77.400	0.060000	9.3461	0.10700	1.5977	2.2397	175.71	20.831	29.224	179.08	2.6141	5.3729	0.0070511	vapor
77.400	0.061667	9.6064	0.10410	1.5976	2.2396	175.48	20.832	29.227	179.08	2.6143	5.3730	0.0070514	vapor
77.400	0.063333	9.8667	0.10135	1.5975	2.2394	175.26	20.834	29.231	179.07	2.6144	5.3731	0.0070516	vapor
77.400	0.065000	10.127	0.098746	1.5975	2.2393	175.04	20.835	29.234	179.06	2.6146	5.3733	0.0070518	vapor
77.400	0.066667	10.387	0.096270	1.5974	2.2392	174.83	20.836	29.237	179.06	2.6147	5.3734	0.0070520	vapor
77.400	0.068333	10.648	0.093916	1.5973	2.2390	174.62	20.837	29.241	179.05	2.6149	5.3735	0.0070522	vapor
77.400	0.070000	10.908	0.091674	1.5972	2.2389	174.42	20.838	29.244	179.04	2.6151	5.3736	0.0070524	vapor
77.400	0.071667	11.169	0.089536	1.5971	2.2388	174.22	20.840	29.248	179.04	2.6152	5.3738	0.0070526	vapor
77.400	0.073333	11.429	0.087495	1.5970	2.2387	174.03	20.841	29.251	179.03	2.6154	5.3739	0.0070528	vapor
77.400	0.075000	11.690	0.085545	1.5970	2.2385	173.84	20.842	29.254	179.02	2.6155	5.3740	0.0070530	vapor
77.400	0.076667	11.950	0.083679	1.5969	2.2384	173.66	20.843	29.258	179.01	2.6157	5.3741	0.0070532	vapor
77.400	0.078333	12.211	0.081893	1.5968	2.2383	173.48	20.844	29.261	179.01	2.6159	5.3743	0.0070534	vapor
77.400	0.080000	12.472	0.080182	1.5967	2.2382	173.30	20.846	29.265	179.00	2.6160	5.3744	0.0070537	vapor
77.400	0.081667	12.732	0.078540	1.5966	2.2380	173.13	20.847	29.268	178.99	2.6162	5.3745	0.0070539	vapor
77.400	0.083333	12.993	0.076964	1.5965	2.2379	172.96	20.848	29.271	178.99	2.6163	5.3746	0.0070541	vapor
77.400	0.085000	13.254	0.075450	1.5965	2.2378	172.80	20.849	29.275	178.98	2.6165	5.3748	0.0070543	vapor
77.400	0.086667	13.515	0.073994	1.5964	2.2376	172.63	20.850	29.278	178.97	2.6167	5.3749	0.0070545	vapor
77.400	0.088333	13.775	0.072593	1.5963	2.2375	172.47	20.852	29.282	178.97	2.6168	5.3750	0.0070547	vapor
77.400	0.090000	14.036	0.071244	1.5962	2.2374	172.32	20.853	29.285	178.96	2.6170	5.3751	0.0070549	vapor
77.400	0.091667	14.297	0.069943	1.5961	2.2373	172.16	20.854	29.288	178.95	2.6171	5.3753	0.0070551	vapor
77.400	0.093333	14.558	0.068690	1.5960	2.2371	172.01	20.855	29.292	178.94	2.6173	5.3754	0.0070553	vapor
77.400	0.095000	14.819	0.067480	1.5959	2.2370	171.87	20.856	29.295	178.94	2.6174	5.3755	0.0070556	vapor
77.400	0.096667	15.080	0.066312	1.5959	2.2369	171.72	20.858	29.299	178.93	2.6176	5.3756	0.0070558	vapor
77.400	0.098333	15.341	0.065184	1.5958	2.2368	171.58	20.859	29.302	178.92	2.6178	5.3758	0.0070560	vapor
77.400	0.10000	15.602	0.064093	1.5957	2.2366	171.44	20.860	29.306	178.92	2.6179	5.3759	0.0070562	vapor
77.400	0.10167	15.863	0.063038	1.5956	2.2365	171.30	20.861	29.309	178.91	2.6181	5.3760	0.0070564	vapor
77.400	0.10333	16.125	0.062017	1.5955	2.2364	171.16	20.862	29.312	178.90	2.6182	5.3761	0.0070566	vapor
77.400	0.10500	16.386	0.061028	1.5954	2.2362	171.03	20.864	29.316	178.90	2.6184	5.3763	0.0070568	vapor
77.400	0.10667	16.647	0.060071	1.5954	2.2361	170.89	20.865	29.319	178.89	2.6186	5.3764	0.0070570	vapor
77.400	0.10833	16.908	0.059142	1.5953	2.2360	170.76	20.866	29.323	178.88	2.6187	5.3765	0.0070573	vapor
77.400	0.11000	17.170	0.058242	1.5952	2.2359	170.64	20.867	29.326	178.88	2.6189	5.3766	0.0070575	vapor
77.400	0.11167	17.431	0.057369	1.5951	2.2357	170.51	20.868	29.330	178.87	2.6190	5.3768	0.0070577	vapor
77.400	0.11333	17.692	0.056522	1.5950	2.2356	170.39	20.870	29.333	178.86	2.6192	5.3769	0.0070579	vapor
77.400	0.11500	17.954	0.055699	1.5949	2.2355	170.26	20.871	29.336	178.85	2.6193	5.3770	0.0070581	vapor
77.400	0.11667	18.215	0.054899	1.5949	2.2353	170.14	20.872	29.340	178.85	2.6195	5.3771	0.0070583	vapor
77.400	0.11833	18.477	0.054122	1.5948	2.2352	170.02	20.873	29.343	178.84	2.6197	5.3773	0.0070585	vapor
77.400	0.12000	18.738	0.053367	1.5947	2.2351	169.91	20.874	29.347	178.83	2.6198	5.3774	0.0070587	vapor
77.400	0.12167	19.000	0.052632	1.5946	2.2350	169.79	20.876	29.350	178.83	2.6200	5.3775	0.0070590	vapor
77.400	0.12333	19.261	0.051917	1.5945	2.2348	169.68	20.877	29.354	178.82	2.6201	5.3776	0.0070592	vapor
77.400	0.12500	19.523	0.051222	1.5944	2.2347	169.56	20.878	29.357	178.81	2.6203	5.3778	0.0070594	vapor
77.400	0.12667	19.785	0.050544	1.5943	2.2346	169.45	20.879	29.361	178.81	2.6205	5.3779	0.0070596	vapor
77.400	0.12833	20.046	0.049884	1.5943	2.2344	169.34	20.881	29.364	178.80	2.6206	5.3780	0.0070598	vapor
77.400	0.13000	20.308	0.049242	1.5942	2.2343	169.23	20.882	29.367	178.79	2.6208	5.3781	0.0070600	vapor
77.400	0.13167	20.570	0.048615	1.5941	2.2342	169.13	20.883	29.371	178.78	2.6209	5.3783	0.0070602	vapor
77.400	0.13333	20.832	0.048004	1.5940	2.2341	169.02	20.884	29.374	178.78	2.6211	5.3784	0.0070605	vapor
77.400	0.13500	21.093	0.047408	1.5939	2.2339	168.92	20.885	29.378	178.77	2.6212	5.3785	0.0070607	vapor
77.400	0.13667	21.355	0.046827	1.5938	2.2338	168.81	20.887	29.381	178.76	2.6214	5.3786	0.0070609	vapor
77.400	0.13833	21.617	0.046259	1.5938	2.2337	168.71	20.888	29.385	178.76	2.6216	5.3788	0.0070611	vapor
77.400	0.14000	21.879	0.045705	1.5937	2.2335	168.61	20.889	29.388	178.75	2.6217	5.3789	0.0070613	vapor
77.400	0.14167	22.141	0.045165	1.5936	2.2334	168.51	20.890	29.392	178.74	2.6219	5.3790	0.0070615	vapor
77.400	0.14333	22.403	0.044636	1.5935	2.2333	168.41	20.892	29.395	178.73	2.6220	5.3791	0.0070617	vapor
77.400	0.14500	22.665	0.044120	1.5934	2.2332	168.32	20.893	29.399	178.73	2.6222	5.3793	0.0070620	vapor
77.400	0.14667	22.927	0.043616	1.5933	2.2330	168.22	20.894	29.402	178.72	2.6223	5.3794	0.0070622	vapor
77.400	0.14833	23.190	0.043123	1.5932	2.2329	168.13	20.895	29.406	178.71	2.6225	5.3795	0.0070624	vapor
77.400	0.15000	23.452	0.042641	1.5932	2.2328	168.03	20.896	29.409	178.71	2.6227	5.3796	0.0070626	vapor
77.400	0.15167	23.714	0.042169	1.5931	2.2326	167.94	20.898	29.413	178.70	2.6228	5.3798	0.0070628	vapor
77.400	0.15333	23.976	0.041708	1.5930	2.2325	167.85	20.899	29.416	178.69	2.6230	5.3799	0.0070630	vapor
77.400	0.15500	24.238	0.041257	1.5929	2.2324	167.76	20.900	29.420	178.69	2.6231	5.3800	0.0070633	vapor
77.400	0.15667	24.501	0.040815	1.5928	2.2323	167.67	20.901	29.423	178.68	2.6233	5.3801	0.0070635	vapor
77.400	0.15833	24.763	0.040383	1.5927	2.2321	167.58	20.902	29.427	178.67	2.6234	5.3803	0.0070637	vapor
77.400	0.16000	25.025	0.039959	1.5927	2.2320	167.49	20.904	29.430	178.66	2.6236	5.3804	0.0070639	vapor
77.400	0.16167	25.288	0.039545	1.5926	2.2319	167.40	20.905	29.433	178.66	2.6238	5.3805	0.0070641	vapor
77.400	0.16333	25.550	0.039138	1.5925	2.2317	167.31	20.906	29.437	178.65	2.6239	5.3806	0.0070643	vapor
77.400	0.16500	25.813	0.038740	1.5924	2.2316	167.23	20.907	29.440	178.64	2.6241	5.3808	0.0070645	vapor
77.400	0.16667	26.075	0.038350	1.5923	2.2315	167.14	20.909	29.444	178.64	2.6242	5.3809	0.0070648	vapor
77.400	0.16833	26.338	0.037968	1.5922	2.2314	167.06	20.910	29.447	178.63	2.6244	5.3810	0.0070650	vapor
77.400	0.17000	26.601	0.037593	1.5921	2.2312	166.98	20.911	29.451	178.62	2.6245	5.3811	0.0070652	vapor
77.400	0.17167	26.863	0.037226	1.5921	2.2311	166.90	20.912	29.454	178.62	2.6247	5.3813	0.0070654	vapor
77.400	0.17333	27.126	0.036865	1.5920	2.2310	166.81	20.914	29.458	178.61	2.6249	5.3814	0.0070656	vapor
77.400	0.17500	27.389	0.036512	1.5919	2.2308	166.73	20.915	29.461	178.60	2.6250	5.3815	0.0070659	vapor
77.400	0.17667	27.651	0.036165	1.5918	2.2307	166.65	20.916	29.465	178.59	2.6252	5.3817	0.0070661	vapor
77.400	0.17833	27.914	0.035824	1.5917	2.2306	166.57	20.917	29.468	178.59	2.6253	5.3818	0.0070663	vapor
77.400	0.18000	28.177	0.035490	1.5916	2.2305	166.50	20.918	29.472	178.58	2.6255	5.3819	0.0070665	vapor
77.400	0.18167	28.440	0.035162	1.5916	2.2303	166.42	20.920	29.476	178.57	2.6256	5.3820	0.0070667	vapor
77.400	0.18333	28.703	0.034840	1.5915	2.2302	166.34	20.921	29.479	178.57	2.6258	5.3822	0.0070669	vapor
77.400	0.18500	28.966	0.034524	1.5914	2.2301	166.26	20.922	29.483	178.56	2.6260	5.3823	0.0070672	vapor
77.400	0.18667	29.229	0.034213	1.5913	2.2299	166.19	20.923	29.486	178.55	2.6261	5.3824	0.0070674	vapor
77.400	0.18833	29.492	0.033908	1.5912	2.2298	166.11	20.925	29.490	178.54	2.6263	5.3825	0.0070676	vapor
77.400	0.19000	29.755	0.033608	1.5911	2.2297	166.04	20.926	29.493	178.54	2.6264	5.3827	0.0070678	vapor
77.400	0.19167	30.018	0.033314	1.5910	2.2296	165.97	20.927	29.497	178.53	2.6266	5.3828	0.0070680	vapor
77.400	0.19333	30.281	0.033024	1.5910	2.2294	165.89	20.928	29.500	178.52	2.6267	5.3829	0.0070682	vapor
77.400	0.19500	30.544	0.032740	1.5909	2.2293	165.82	20.930	29.504	178.52	2.6269	5.3830	0.0070685	vapor
77.400	0.19667	30.807	0.032460	1.5908	2.2292	165.75	20.931	29.507	178.51	2.6271	5.3832	0.0070687	vapor
77.400	0.19833	31.070	0.032185	1.5907	2.2290	165.68	20.932	29.511	178.50	2.6272	5.3833	0.0070689	vapor
77.400	0.20000	31.334	0.031915	1.5906	2.2289	165.61	20.933	29.514	178.50	2.6274	5.3834	0.0070691	vapor
77.400	0.20167	31.597	0.031649	1.5905	2.2288	165.54	20.934	29.518	178.49	2.6275	5.3835	0.0070693	vapor
77.400	0.20333	31.860	0.031387	1.5905	2.2287	165.47	20.936	29.521	178.48	2.6277	5.3837	0.0070696	vapor
77.400	0.20500	32.124	0.031130	1.5904	2.2285	165.40	20.937	29.525	178.47	2.6278	5.3838	0.0070698	vapor
77.400	0.20667	32.387	0.030876	1.5903	2.2284	165.33	20.938	29.528	178.47	2.6280	5.3839	0.0070700	vapor
77.400	0.20833	32.651	0.030627	1.5902	2.2283	165.26	20.939	29.532	178.46	2.6282	5.3840	0.0070702	vapor
77.400	0.21000	32.914	0.030382	1.5901	2.2281	165.19	20.941	29.535	178.45	2.6283	5.3842	0.0070704	vapor
77.400	0.21167	33.178	0.030141	1.5900	2.2280	165.13	20.942	29.539	178.45	2.6285	5.3843	0.0070707	vapor
77.400	0.21333	33.441	0.029903	1.5899	2.2279	165.06	20.943	29.543	178.44	2.6286	5.3844	0.0070709	vapor
77.400	0.21500	33.705	0.029669	1.5899	2.2277	165.00	20.944	29.546	178.43	2.6288	5.3845	0.0070711	vapor
77.400	0.21667	33.968	0.029439	1.5898	2.2276	164.93	20.946	29.550	178.42	2.6289	5.3847	0.0070713	vapor
77.400	0.21833	34.232	0.029212	1.5897	2.2275	164.86	20.947	29.553	178.42	2.6291	5.3848	0.0070715	vapor
77.400	0.22000	34.496	0.028989	1.5896	2.2274	164.80	20.948	29.557	178.41	2.6293	5.3849	0.0070718	vapor
77.400	0.22167	34.759	0.028769	1.5895	2.2272	164.74	20.949	29.560	178.40	2.6294	5.3851	0.0070720	vapor
77.400	0.22333	35.023	0.028552	1.5894	2.2271	164.67	20.951	29.564	178.40	2.6296	5.3852	0.0070722	vapor
77.400	0.22500	35.287	0.028339	1.5893	2.2270	164.61	20.952	29.567	178.39	2.6297	5.3853	0.0070724	vapor
77.400	0.22667	35.551	0.028129	1.5893	2.2268	164.55	20.953	29.571	178.38	2.6299	5.3854	0.0070726	vapor
77.400	0.22833	35.815	0.027921	1.5892	2.2267	164.49	20.954	29.575	178.38	2.6300	5.3856	0.0070729	vapor
77.400	0.23000	36.079	0.027717	1.5891	2.2266	164.42	20.956	29.578	178.37	2.6302	5.3857	0.0070731	vapor
77.400	0.23167	36.343	0.027516	1.5890	2.2265	164.36	20.957	29.582	178.36	2.6304	5.3858	0.0070733	vapor
77.400	0.23333	36.607	0.027317	1.5889	2.2263	164.30	20.958	29.585	178.35	2.6305	5.3859	0.0070735	vapor
77.400	0.23500	36.871	0.027122	1.5888	2.2262	164.24	20.959	29.589	178.35	2.6307	5.3861	0.0070737	vapor
77.400	0.23667	37.135	0.026929	1.5887	2.2261	164.18	20.961	29.592	178.34	2.6308	5.3862	0.0070740	vapor
77.400	0.23833	37.399	0.026739	1.5887	2.2259	164.12	20.962	29.596	178.33	2.6310	5.3863	0.0070742	vapor
77.400	0.24000	37.663	0.026551	1.5886	2.2258	164.06	20.963	29.600	178.33	2.6311	5.3864	0.0070744	vapor
77.400	0.24167	37.927	0.026366	1.5885	2.2257	164.01	20.964	29.603	178.32	2.6313	5.3866	0.0070746	vapor
77.400	0.24333	38.192	0.026184	1.5884	2.2255	163.95	20.966	29.607	178.31	2.6314	5.3867	0.0070749	vapor
77.400	0.24500	38.456	0.026004	1.5883	2.2254	163.89	20.967	29.610	178.30	2.6316	5.3868	0.0070751	vapor
77.400	0.24667	38.720	0.025826	1.5882	2.2253	163.83	20.968	29.614	178.30	2.6318	5.3869	0.0070753	vapor
77.400	0.24833	38.984	0.025651	1.5881	2.2252	163.77	20.969	29.617	178.29	2.6319	5.3871	0.0070755	vapor
77.400	0.25000	39.249	0.025478	1.5881	2.2250	163.72	20.971	29.621	178.28	2.6321	5.3872	0.0070757	vapor
77.400	0.25167	39.513	0.025308	1.5880	2.2249	163.66	20.972	29.625	178.28	2.6322	5.3873	0.0070760	vapor
77.400	0.25333	39.778	0.025140	1.5879	2.2248	163.61	20.973	29.628	178.27	2.6324	5.3875	0.0070762	vapor
77.400	0.25500	40.042	0.024974	1.5878	2.2246	163.55	20.974	29.632	178.26	2.6325	5.3876	0.0070764	vapor
77.400	0.25667	40.307	0.024810	1.5877	2.2245	163.49	20.976	29.635	178.25	2.6327	5.3877	0.0070766	vapor
77.400	0.25833	40.571	0.024648	1.5876	2.2244	163.44	20.977	29.639	178.25	2.6329	5.3878	0.0070769	vapor
77.400	0.26000	40.836	0.024488	1.5875	2.2242	163.38	20.978	29.643	178.24	2.6330	5.3880	0.0070771	vapor
77.400	0.26167	41.100	0.024331	1.5875	2.2241	163.33	20.979	29.646	178.23	2.6332	5.3881	0.0070773	vapor
